customer_id,addr_type,province,city,district,detail,is_current,created_at,is_test_data
C00000001,HOME,广东,南昌,海港,吴街Q座,1,2025-04-30 21:24:13,1
C00000001,WORK,广东,六盘水,平山,方正科技信息有限公司办公楼,1,2025-04-30 21:24:13,1
C00000002,HOME,四川,六安,双滦,东莞街f座,1,2025-01-05 21:46:59,1
C00000002,WORK,四川,宁德,沈北新,彩虹网络有限公司办公楼,1,2025-01-05 21:46:59,1
C00000003,HOME,湖北,关岭,滨城,梁街C座,1,2025-05-03 22:23:24,1
C00000004,HOME,四川,太原,西峰,黄街a座,1,2025-02-05 20:09:21,1
C00000005,HOME,广东,太原,双滦,梅街j座,1,2025-04-06 13:25:31,1
C00000006,HOME,黑龙江,兴城,清城,黄街p座,1,2025-01-27 12:43:22,1
C00000006,WORK,黑龙江,天津,南溪,同兴万点传媒有限公司办公楼,1,2025-01-27 12:43:22,1
C00000007,HOME,陕西,梧州,徐汇,余路y座,1,2025-02-28 12:05:20,1
C00000008,HOME,陕西,佛山,沈河,陈街X座,1,2025-02-26 20:10:58,1
C00000008,WORK,陕西,太原,南湖,万迅电脑信息有限公司办公楼,1,2025-02-26 20:10:58,1
C00000009,HOME,黑龙江,柳州,朝阳,哈尔滨路J座,1,2025-06-25 20:43:38,1
C00000009,WORK,黑龙江,荆门,萧山,联软网络有限公司办公楼,1,2025-06-25 20:43:38,1
C00000010,HOME,江西,辽阳,房山,柳州街m座,1,2025-05-26 12:31:54,1
C00000011,HOME,黑龙江,拉萨,浔阳,潮州路e座,1,2025-04-20 12:52:22,1
C00000011,WORK,黑龙江,兰州,花溪,趋势信息有限公司办公楼,1,2025-04-20 12:52:22,1
C00000012,HOME,北京,辽阳,和平,兴城路O座,1,2025-02-05 22:24:27,1
C00000012,WORK,北京,南宁,西夏,开发区世创网络有限公司办公楼,1,2025-02-05 22:24:27,1
C00000013,HOME,陕西,南京,和平,郭街Z座,1,2025-01-21 12:07:14,1
C00000013,WORK,陕西,六盘水,龙潭,鸿睿思博信息有限公司办公楼,1,2025-01-21 12:07:14,1
C00000014,HOME,重庆,太原,丰都,彭路j座,1,2025-01-24 20:25:49,1
C00000015,HOME,山东,柳州,秀英,李路t座,1,2025-03-15 21:57:00,1
C00000015,WORK,山东,石家庄,南长,七喜传媒有限公司办公楼,1,2025-03-15 21:57:00,1
C00000016,HOME,黑龙江,武汉,蓟州,陈街y座,1,2025-01-07 13:38:03,1
C00000017,HOME,江苏,海门,和平,嘉禾路N座,1,2025-05-24 20:25:43,1
C00000018,HOME,重庆,柳州,滨城,许路V座,1,2025-01-28 13:46:09,1
C00000018,WORK,重庆,通辽,涪城,超艺信息有限公司办公楼,1,2025-01-28 13:46:09,1
C00000019,HOME,江苏,长春,普陀,太原路J座,1,2025-05-03 12:40:12,1
C00000020,HOME,广东,济南,清城,芦街n座,1,2025-02-14 23:51:02,1
C00000020,WORK,广东,柳州,普陀,时空盒数字传媒有限公司办公楼,1,2025-02-14 23:51:02,1
C00000021,HOME,北京,辽阳,崇文,广州路A座,1,2025-01-17 17:19:52,1
C00000022,HOME,四川,北镇,江北,六安路g座,1,2025-01-16 12:57:31,1
C00000023,HOME,河北,呼和浩特,梁平,谷街d座,1,2025-01-01 13:29:54,1
C00000024,HOME,山东,汕尾,合川,海口路q座,1,2025-02-28 21:50:14,1
C00000025,HOME,黑龙江,沈阳,涪城,马路o座,1,2025-01-14 12:42:53,1
C00000025,WORK,黑龙江,齐齐哈尔,永川,飞海科技信息有限公司办公楼,1,2025-01-14 12:42:53,1
C00000026,HOME,山东,海门,普陀,朱街F座,1,2025-01-30 08:23:41,1
C00000027,HOME,上海,嘉禾,沈北新,张家港路b座,1,2025-02-14 20:02:35,1
