customer_id,name,gender,birth_date,age,education,marital,occupation,monthly_income,reg_channel,reg_time,status,is_test_data
C00000001,高海燕,1,1982-07-17,43,本科,已婚,个体经营者,21092.02,PARTNER_BANK1,2025-04-30 21:24:13,ACTIVE,1
C00000002,徐畅,1,1987-05-03,38,高中,已婚,服务员,3425.36,REFERRAL,2025-01-05 21:46:59,ACTIVE,1
C00000003,王娜,1,1989-08-25,36,本科,已婚,教师,10631.22,TENCENT_AD,2025-05-03 22:23:24,ACTIVE,1
C00000004,游雪,2,1985-03-20,40,本科,未婚,公务员,6187.27,TENCENT_AD,2025-02-05 20:09:21,ACTIVE,1
C00000005,罗娜,1,2005-10-16,20,本科,已婚,公司职员,7238.04,TENCENT_AD,2025-04-06 13:25:31,ACTIVE,1
C00000006,孙利,1,1989-09-14,36,本科,已婚,工人,6399.57,BYTEDANCE_AD,2025-01-27 12:43:22,ACTIVE,1
C00000007,刘林,2,1999-05-16,26,硕士,未婚,工人,5960.68,PARTNER_BANK1,2025-02-28 12:05:20,ACTIVE,1
C00000008,吴瑜,2,1983-09-10,42,本科,未婚,医生/护士,12899.25,WECHAT_MP,2025-02-26 20:10:58,ACTIVE,1
C00000009,廖春梅,1,2001-10-22,24,本科,未婚,工程师,23721.99,KUAISHOU_AD,2025-06-25 20:43:38,ACTIVE,1
C00000010,唐涛,1,1984-08-10,41,本科,未婚,服务员,4536.88,KUAISHOU_AD,2025-05-26 12:31:54,ACTIVE,1
C00000011,侯飞,2,1983-04-14,42,高中,已婚,服务员,6987.76,BAIDU_SEM,2025-04-20 12:52:22,ACTIVE,1
C00000012,薛荣,1,1989-11-10,36,硕士,未婚,工人,6476.15,BYTEDANCE_AD,2025-02-05 22:24:27,ACTIVE,1
C00000013,李俊,1,1991-08-14,34,本科,已婚,工程师,11649.11,TENCENT_AD,2025-01-21 12:07:14,ACTIVE,1
C00000014,张瑞,1,2002-02-02,23,大专,未婚,个体经营者,16420.99,BAIDU_SEM,2025-01-24 20:25:49,ACTIVE,1
C00000015,周强,1,1991-12-18,34,本科,已婚,服务员,5198.87,KUAISHOU_AD,2025-03-15 21:57:00,ACTIVE,1
C00000016,伍桂芝,1,1991-05-01,34,本科,未婚,公司职员,10159.44,APP_ORG,2025-01-07 13:38:03,ACTIVE,1
C00000017,李彬,1,1991-05-15,34,大专,已婚,个体经营者,7725.08,TENCENT_AD,2025-05-24 20:25:43,ACTIVE,1
C00000018,李华,2,1987-03-10,38,硕士,已婚,个体经营者,27527.58,REFERRAL,2025-01-28 13:46:09,ACTIVE,1
C00000019,吕丽华,1,1999-08-09,26,本科,未婚,运营/客服,11542.10,BAIDU_SEM,2025-05-03 12:40:12,ACTIVE,1
C00000020,邓莉,1,1981-07-11,44,本科,未婚,个体经营者,16235.02,WECHAT_MP,2025-02-14 23:51:02,ACTIVE,1
C00000021,但华,1,1988-09-14,37,初中,未婚,公司职员,13657.00,PARTNER_BANK1,2025-01-17 17:19:52,ACTIVE,1
C00000022,李秀兰,1,1979-01-23,46,大专,未婚,自由职业,24455.74,BYTEDANCE_AD,2025-01-16 12:57:31,ACTIVE,1
C00000023,陈红霞,2,2000-01-07,25,本科,已婚,公司职员,10252.29,APP_ORG,2025-01-01 13:29:54,ACTIVE,1
C00000024,高云,2,1999-03-28,26,大专,已婚,自由职业,10437.84,BAIDU_SEM,2025-02-28 21:50:14,ACTIVE,1
C00000025,刘梅,2,1990-10-19,35,大专,未婚,服务员,3253.82,H5_PROMO,2025-01-14 12:42:53,ACTIVE,1
C00000026,马利,1,2003-03-26,22,硕士,已婚,自由职业,16365.64,BYTEDANCE_AD,2025-01-30 08:23:41,ACTIVE,1
C00000027,魏云,1,1984-12-01,41,硕士,未婚,医生/护士,15709.84,H5_PROMO,2025-02-14 20:02:35,ACTIVE,1
C00000028,萧丽华,1,1981-04-23,44,大专,已婚,自由职业,11779.48,APP_ORG,2025-05-03 13:06:22,ACTIVE,1
C00000029,赵鹏,1,2006-02-14,19,本科,已婚,教师,7657.60,TENCENT_AD,2025-02-08 13:59:18,ACTIVE,1
C00000030,周芳,2,1989-01-02,36,本科,未婚,学生,1769.03,TENCENT_AD,2025-01-03 13:40:30,ACTIVE,1
C00000031,孙晶,2,1989-10-13,36,初中,未婚,教师,10537.03,APP_ORG,2025-01-16 19:01:22,ACTIVE,1
C00000032,王玉珍,1,1988-03-06,37,硕士,未婚,自由职业,8474.03,H5_PROMO,2025-01-07 21:57:19,ACTIVE,1
C00000033,张玉英,1,1986-12-16,39,本科,已婚,运营/客服,10859.24,BYTEDANCE_AD,2025-01-24 13:16:58,ACTIVE,1
C00000034,王莹,1,1990-05-16,35,大专,未婚,公司职员,13933.77,BAIDU_SEM,2025-06-02 10:03:47,ACTIVE,1
C00000035,莫超,1,1999-09-25,26,本科,已婚,学生,1156.34,BAIDU_SEM,2025-02-15 20:09:52,ACTIVE,1
C00000036,王丽丽,1,1991-09-04,34,硕士,离异,公务员,13322.22,REFERRAL,2025-01-28 00:49:21,ACTIVE,1
C00000037,尹洁,2,1988-02-03,37,本科,未婚,服务员,4640.82,BAIDU_SEM,2025-04-29 09:29:54,ACTIVE,1
C00000038,李欣,2,1990-12-01,35,大专,已婚,工人,7918.19,BAIDU_SEM,2025-01-20 20:33:40,ACTIVE,1
C00000039,李玉,2,2005-09-25,20,高中,已婚,个体经营者,18205.05,REFERRAL,2025-01-23 12:08:12,ACTIVE,1
