customer_id,id_type,id_number,id_issue_org,province,verified_at,is_test_data
C00000001,ID,44015819820717439X,广东公安局,广东,2025-04-30 21:38:13,1
C00000002,ID,510185198705030011,四川公安局,四川,2025-01-05 22:30:59,1
C00000003,ID,420120198908257371,湖北公安局,湖北,2025-05-03 23:23:24,1
C00000004,ID,510193198503209363,四川公安局,四川,2025-02-05 20:13:21,1
C00000005,ID,440152200510167864,广东公安局,广东,2025-04-06 14:10:31,1
C00000006,ID,230104198909148235,黑龙江公安局,黑龙江,2025-01-27 13:11:22,1
C00000007,ID,610162199905163226,陕西公安局,陕西,2025-02-28 12:56:20,1
C00000008,ID,610169198309100659,陕西公安局,陕西,2025-02-26 21:06:58,1
C00000009,ID,230153200110225495,黑龙江公安局,黑龙江,2025-06-25 21:33:38,1
C00000010,ID,360144198408100954,江西公安局,江西,2025-05-26 12:56:54,1
C00000011,ID,230146198304149159,黑龙江公安局,黑龙江,2025-04-20 13:14:22,1
C00000012,ID,110183198911109903,北京公安局,北京,2025-02-05 23:00:27,1
C00000013,ID,610122199108143969,陕西公安局,陕西,2025-01-21 13:04:14,1
C00000014,ID,500159200202022090,重庆公安局,重庆,2025-01-24 21:12:49,1
C00000015,ID,370162199112180202,山东公安局,山东,2025-03-15 22:17:00,1
C00000016,ID,230195199105015897,黑龙江公安局,黑龙江,2025-01-07 13:42:03,1
C00000017,ID,320195199105154709,江苏公安局,江苏,2025-05-24 20:27:43,1
C00000018,ID,500122198703100816,重庆公安局,重庆,2025-01-28 14:45:09,1
C00000019,ID,320193199908094102,江苏公安局,江苏,2025-05-03 12:56:12,1
C00000020,ID,440166198107111631,广东公安局,广东,2025-02-15 00:20:02,1
C00000021,ID,110114198809143053,北京公安局,北京,2025-01-17 18:03:52,1
C00000022,ID,510113197901230428,四川公安局,四川,2025-01-16 13:26:31,1
C00000023,ID,130178200001072446,河北公安局,河北,2025-01-01 13:38:54,1
C00000024,ID,370107199903283457,山东公安局,山东,2025-02-28 22:35:14,1
C00000025,ID,230154199010191292,黑龙江公安局,黑龙江,2025-01-14 12:50:53,1
C00000026,ID,370126200303260053,山东公安局,山东,2025-01-30 08:52:41,1
C00000027,ID,310181198412010292,上海公安局,上海,2025-02-14 20:13:35,1
C00000028,ID,130197198104237978,河北公安局,河北,2025-05-03 13:59:22,1
C00000029,ID,210177200602147806,辽宁公安局,辽宁,2025-02-08 14:27:18,1
C00000030,ID,440140198901029578,广东公安局,广东,2025-01-03 14:39:30,1
C00000031,ID,340128198910136174,安徽公安局,安徽,2025-01-16 19:38:22,1
C00000032,ID,610122198803066526,陕西公安局,陕西,2025-01-07 22:23:19,1
C00000033,ID,320108198612168574,江苏公安局,江苏,2025-01-24 13:26:58,1
C00000034,ID,330139199005169189,浙江公安局,浙江,2025-06-02 11:00:47,1
C00000035,ID,13012619990925730X,河北公安局,河北,2025-02-15 20:28:52,1
C00000036,ID,330149199109049029,浙江公安局,浙江,2025-01-28 01:22:21,1
C00000037,ID,370164198802039415,山东公安局,山东,2025-04-29 10:04:54,1
C00000038,ID,440143199012012542,广东公安局,广东,2025-01-20 20:37:40,1
C00000039,ID,370134200509257722,山东公安局,山东,2025-01-23 12:26:12,1
C00000040,ID,530182200306140381,云南公安局,云南,2025-05-01 21:06:17,1
C00000041,ID,530199198905222853,云南公安局,云南,2025-02-01 07:02:51,1
C00000042,ID,340108199912269877,安徽公安局,安徽,2025-01-03 12:22:06,1
C00000043,ID,13010219960927836X,河北公安局,河北,2025-02-13 17:17:07,1
C00000044,ID,330121199306143288,浙江公安局,浙江,2025-05-08 13:56:02,1
C00000045,ID,340169199105011098,安徽公安局,安徽,2025-05-11 14:04:06,1
C00000046,ID,530189199102093543,云南公安局,云南,2025-01-06 22:20:19,1
C00000047,ID,130185199201103460,河北公安局,河北,2025-04-19 21:03:57,1
C00000048,ID,350122199709035978,福建公安局,福建,2025-06-09 19:15:29,1
C00000049,ID,410122199007164472,河南公安局,河南,2025-05-09 22:22:05,1
C00000050,ID,110195199104246143,北京公安局,北京,2025-05-25 22:28:05,1
C00000051,ID,110195198212047710,北京公安局,北京,2025-01-08 12:52:32,1
C00000052,ID,610148198603215527,陕西公安局,陕西,2025-04-24 23:32:44,1
C00000053,ID,440172199204236163,广东公安局,广东,2025-02-17 14:09:10,1
C00000054,ID,320117199904026536,江苏公安局,江苏,2025-03-06 14:23:09,1
C00000055,ID,110142198907278176,北京公安局,北京,2025-02-10 19:25:22,1
C00000056,ID,500187199002241918,重庆公安局,重庆,2025-01-23 19:12:13,1
C00000057,ID,310134200011225407,上海公安局,上海,2025-04-07 21:56:36,1
C00000058,ID,410139198507274080,河南公安局,河南,2025-05-30 11:06:41,1
C00000059,ID,440121198205201013,广东公安局,广东,2025-05-13 13:41:18,1
C00000060,ID,210103200102193115,辽宁公安局,辽宁,2025-04-13 12:32:19,1
C00000061,ID,440183199809157766,广东公安局,广东,2025-01-30 14:34:58,1
C00000062,ID,410142199304221256,河南公安局,河南,2025-01-06 21:57:40,1
C00000063,ID,210162200105086139,辽宁公安局,辽宁,2025-03-26 13:07:16,1
C00000064,ID,33018719970523072X,浙江公安局,浙江,2025-02-14 20:59:22,1
C00000065,ID,340194198811071196,安徽公安局,安徽,2025-01-29 13:40:38,1
C00000066,ID,350151199407117179,福建公安局,福建,2025-05-25 13:40:02,1
C00000067,ID,350112199407176158,福建公安局,福建,2025-01-13 21:20:25,1
C00000068,ID,350178199406108457,福建公安局,福建,2025-01-20 20:16:06,1
C00000069,ID,50010919941219385X,重庆公安局,重庆,2025-02-12 21:57:08,1
C00000070,ID,530159199804056095,云南公安局,云南,2025-01-12 13:35:50,1
C00000071,ID,440129199008093901,广东公安局,广东,2025-05-01 16:02:53,1
C00000072,ID,410147197602159422,河南公安局,河南,2025-01-07 13:45:03,1
C00000073,ID,510177197911031715,四川公安局,四川,2025-05-20 22:34:25,1
C00000074,ID,370198199110146680,山东公安局,山东,2025-01-18 21:28:26,1
C00000075,ID,510116199412101754,四川公安局,四川,2025-01-06 22:06:26,1
C00000076,ID,500174199404253573,重庆公安局,重庆,2025-01-12 17:12:12,1
C00000077,ID,410143200212111713,河南公安局,河南,2025-03-30 21:18:13,1
C00000078,ID,220103199702265318,吉林公安局,吉林,2025-02-08 23:50:25,1
C00000079,ID,50015819901106240X,重庆公安局,重庆,2025-01-09 16:05:30,1
C00000080,ID,210182198811195127,辽宁公安局,辽宁,2025-02-05 07:10:28,1
